Date	hhmm	Solar
01/01/2013	00:30	0.0
01/01/2013	01:00	0.0
01/01/2013	01:30	0.0
01/01/2013	02:00	0.0
01/01/2013	02:30	0.0
01/01/2013	03:00	0.0
01/01/2013	03:30	0.0
01/01/2013	04:00	0.0
01/01/2013	04:30	0.0
01/01/2013	05:00	0.0
01/01/2013	05:30	0.0
01/01/2013	06:00	0.0
01/01/2013	06:30	0.0
01/01/2013	07:00	0.0
01/01/2013	07:30	0.0
01/01/2013	08:00	8e-05
01/01/2013	08:30	0.184486
01/01/2013	09:00	0.472936
01/01/2013	09:30	0.919004
01/01/2013	10:00	1.363654
01/01/2013	10:30	1.910773
01/01/2013	11:00	3.139845
01/01/2013	11:30	2.953001
01/01/2013	12:00	4.616194
01/01/2013	12:30	5.308511
01/01/2013	13:00	5.361542
01/01/2013	13:30	6.905251
01/01/2013	14:00	6.600588
01/01/2013	14:30	8.058971
01/01/2013	15:00	7.347841
01/01/2013	15:30	3.645635
01/01/2013	16:00	4.490792
01/01/2013	16:30	2.510094
01/01/2013	17:00	1.476398
01/01/2013	17:30	0.278751
01/01/2013	18:00	0.0
01/01/2013	18:30	0.0
01/01/2013	19:00	0.0
01/01/2013	19:30	0.0
01/01/2013	20:00	0.0
01/01/2013	20:30	0.0
01/01/2013	21:00	0.0
01/01/2013	21:30	0.0
01/01/2013	22:00	0.0
01/01/2013	22:30	0.0
01/01/2013	23:00	0.0
01/01/2013	23:30	0.0
01/01/2013	00:00	0.0
01/02/2013	00:30	0.0
01/02/2013	01:00	0.0
01/02/2013	01:30	0.0
01/02/2013	02:00	0.0
01/02/2013	02:30	0.0
01/02/2013	03:00	0.0
01/02/2013	03:30	0.0
01/02/2013	04:00	0.0
01/02/2013	04:30	0.0
01/02/2013	05:00	0.0
01/02/2013	05:30	0.0
01/02/2013	06:00	0.0
01/02/2013	06:30	0.0
01/02/2013	07:00	0.0
01/02/2013	07:30	0.0
01/02/2013	08:00	0.098049
01/02/2013	08:30	0.54681
01/02/2013	09:00	0.974557
01/02/2013	09:30	1.880902
01/02/2013	10:00	2.387625
01/02/2013	10:30	2.233647
01/02/2013	11:00	3.0792
01/02/2013	11:30	3.521398
01/02/2013	12:00	3.663437
01/02/2013	12:30	3.806363
01/02/2013	13:00	3.715402
01/02/2013	13:30	3.979545
01/02/2013	14:00	3.47506
01/02/2013	14:30	3.471386
01/02/2013	15:00	2.441397
01/02/2013	15:30	1.808312
01/02/2013	16:00	1.746501
01/02/2013	16:30	1.762499
01/02/2013	17:00	0.596349
01/02/2013	17:30	0.111271
01/02/2013	18:00	0.0
01/02/2013	18:30	0.0
01/02/2013	19:00	0.0
01/02/2013	19:30	0.0
01/02/2013	20:00	0.0
01/02/2013	20:30	0.0
01/02/2013	21:00	0.0
01/02/2013	21:30	0.0
01/02/2013	22:00	0.0
01/02/2013	22:30	0.0
01/02/2013	23:00	0.0
01/02/2013	23:30	0.0
01/02/2013	00:00	0.0
01/03/2013	00:30	0.0
01/03/2013	01:00	0.0
01/03/2013	01:30	0.0
01/03/2013	02:00	0.0
01/03/2013	02:30	0.0
01/03/2013	03:00	0.0
01/03/2013	03:30	0.0
01/03/2013	04:00	0.0
01/03/2013	04:30	0.0
01/03/2013	05:00	0.0
01/03/2013	05:30	0.0
01/03/2013	06:00	0.0
01/03/2013	06:30	0.0
01/03/2013	07:00	0.0
01/03/2013	07:30	0.0
01/03/2013	08:00	0.159813
01/03/2013	08:30	1.08311
01/03/2013	09:00	2.748424
01/03/2013	09:30	1.734836
01/03/2013	10:00	2.937927
01/03/2013	10:30	2.441084
01/03/2013	11:00	3.098555
01/03/2013	11:30	3.022403
01/03/2013	12:00	2.300541
01/03/2013	12:30	3.101466
01/03/2013	13:00	3.65537
01/03/2013	13:30	3.902767
01/03/2013	14:00	2.733114
01/03/2013	14:30	2.382129
01/03/2013	15:00	2.016615
01/03/2013	15:30	1.411338
01/03/2013	16:00	0.895623
01/03/2013	16:30	0.723293
01/03/2013	17:00	0.431913
01/03/2013	17:30	0.045255
01/03/2013	18:00	0.0
01/03/2013	18:30	0.0
01/03/2013	19:00	0.0
01/03/2013	19:30	0.0
01/03/2013	20:00	0.0
01/03/2013	20:30	0.0
01/03/2013	21:00	0.0
01/03/2013	21:30	0.0
01/03/2013	22:00	0.0
01/03/2013	22:30	0.0
01/03/2013	23:00	0.0
01/03/2013	23:30	0.0
01/03/2013	00:00	0.0
01/04/2013	00:30	0.0
01/04/2013	01:00	0.0
01/04/2013	01:30	0.0
01/04/2013	02:00	0.0
01/04/2013	02:30	0.0
01/04/2013	03:00	0.0
01/04/2013	03:30	0.0
01/04/2013	04:00	0.0
01/04/2013	04:30	0.0
01/04/2013	05:00	0.0
01/04/2013	05:30	0.0
01/04/2013	06:00	0.0
01/04/2013	06:30	0.0
01/04/2013	07:00	0.0
01/04/2013	07:30	0.0
01/04/2013	08:00	0.134651
01/04/2013	08:30	0.384144
01/04/2013	09:00	0.479129
01/04/2013	09:30	1.166498
01/04/2013	10:00	1.659185
01/04/2013	10:30	1.576393
01/04/2013	11:00	1.959577
01/04/2013	11:30	2.542185
01/04/2013	12:00	3.918515
01/04/2013	12:30	4.786759
01/04/2013	13:00	3.771611
01/04/2013	13:30	3.07954
01/04/2013	14:00	2.205805
01/04/2013	14:30	2.665763
01/04/2013	15:00	1.824082
01/04/2013	15:30	1.596638
01/04/2013	16:00	1.193754
01/04/2013	16:30	0.622115
01/04/2013	17:00	0.363752
01/04/2013	17:30	0.061809
01/04/2013	18:00	0.0
01/04/2013	18:30	0.0
01/04/2013	19:00	0.0
01/04/2013	19:30	0.0
01/04/2013	20:00	0.0
01/04/2013	20:30	0.0
01/04/2013	21:00	0.0
01/04/2013	21:30	0.0
01/04/2013	22:00	0.0
01/04/2013	22:30	0.0
01/04/2013	23:00	0.0
01/04/2013	23:30	0.0
01/04/2013	00:00	0.0
01/05/2013	00:30	0.0
01/05/2013	01:00	0.0
01/05/2013	01:30	0.0
01/05/2013	02:00	0.0
01/05/2013	02:30	0.0
01/05/2013	03:00	0.0
01/05/2013	03:30	0.0
01/05/2013	04:00	0.0
01/05/2013	04:30	0.0
01/05/2013	05:00	0.0
01/05/2013	05:30	0.0
01/05/2013	06:00	0.0
01/05/2013	06:30	0.0
01/05/2013	07:00	0.0
01/05/2013	07:30	0.0
01/05/2013	08:00	0.053885
01/05/2013	08:30	0.353719
01/05/2013	09:00	1.032804
01/05/2013	09:30	1.462144
01/05/2013	10:00	2.628428
01/05/2013	10:30	2.992278
01/05/2013	11:00	2.962987
01/05/2013	11:30	4.063805
01/05/2013	12:00	4.08063
01/05/2013	12:30	7.408573
01/05/2013	13:00	8.448752
01/05/2013	13:30	10.0077
01/05/2013	14:00	10.910959
01/05/2013	14:30	13.323704
01/05/2013	15:00	13.165583
01/05/2013	15:30	12.859413
01/05/2013	16:00	12.003184
01/05/2013	16:30	10.14574
01/05/2013	17:00	5.350665
01/05/2013	17:30	1.039231
01/05/2013	18:00	3e-06
01/05/2013	18:30	0.0
01/05/2013	19:00	0.0
01/05/2013	19:30	0.0
01/05/2013	20:00	0.0
01/05/2013	20:30	0.0
01/05/2013	21:00	0.0
01/05/2013	21:30	0.0
01/05/2013	22:00	0.0
01/05/2013	22:30	0.0
01/05/2013	23:00	0.0
01/05/2013	23:30	0.0
01/05/2013	00:00	0.0
01/06/2013	00:30	0.0
01/06/2013	01:00	0.0
01/06/2013	01:30	0.0
01/06/2013	02:00	0.0
01/06/2013	02:30	0.0
01/06/2013	03:00	0.0
01/06/2013	03:30	0.0
01/06/2013	04:00	0.0
01/06/2013	04:30	0.0
01/06/2013	05:00	0.0
01/06/2013	05:30	0.0
01/06/2013	06:00	0.0
01/06/2013	06:30	0.0
01/06/2013	07:00	0.0
01/06/2013	07:30	0.0
01/06/2013	08:00	1.288447
01/06/2013	08:30	6.09079
01/06/2013	09:00	11.260328
01/06/2013	09:30	12.891985
01/06/2013	10:00	13.728853
01/06/2013	10:30	14.092219
01/06/2013	11:00	14.00152
01/06/2013	11:30	13.895609
01/06/2013	12:00	13.754859
01/06/2013	12:30	13.632879
01/06/2013	13:00	13.612443
01/06/2013	13:30	13.713352
01/06/2013	14:00	13.864831
01/06/2013	14:30	13.949045
01/06/2013	15:00	14.00964
01/06/2013	15:30	13.72777
01/06/2013	16:00	13.010669
01/06/2013	16:30	11.039089
01/06/2013	17:00	6.048992
01/06/2013	17:30	1.261362
01/06/2013	18:00	5.2e-05
01/06/2013	18:30	0.0
01/06/2013	19:00	0.0
01/06/2013	19:30	0.0
01/06/2013	20:00	0.0
01/06/2013	20:30	0.0
01/06/2013	21:00	0.0
01/06/2013	21:30	0.0
