Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734232,-,-,-,29.77,-95.38,-6,15,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2012,1,1,0,0,0,0,0,0,0,0,0,16,171.29,0,0.14100000000000001,1.4000000000000001,2.468,211.4,100.0,16,1010.0
2012,1,1,0,30,0,0,0,0,0,0,0,16,173.17000000000002,0,0.14100000000000001,1.2000000000000002,2.549,211.4,100.0,16,1010.0
2012,1,1,1,0,0,0,0,0,0,0,0,16,169.63,0,0.14100000000000001,1.1,2.6310000000000002,245.9,100.0,16,1010.0
2012,1,1,1,30,0,0,0,0,0,0,0,16,163.93,0,0.14100000000000001,1.7000000000000002,2.692,245.9,100.0,16,1010.0
2012,1,1,2,0,0,0,0,0,0,0,1,16,157.68,0,0.14100000000000001,2.3000000000000003,2.755,289.2,100.0,16,1010.0
2012,1,1,2,30,0,0,0,0,0,0,3,16,151.25,0,0.14100000000000001,2.8000000000000003,2.636,289.2,100.0,16,1020.0
2012,1,1,3,0,0,0,0,0,0,0,1,15,144.76,0,0.14100000000000001,3.3000000000000003,2.5180000000000002,316.1,99.78,16,1020.0
2012,1,1,3,30,0,0,0,0,0,0,1,14,138.25,0,0.14100000000000001,3.3000000000000003,2.286,316.1,100.0,15,1020.0
2012,1,1,4,0,0,0,0,0,0,0,0,12,131.76,0,0.14100000000000001,3.3000000000000003,2.055,338.90000000000003,97.43,14,1020.0
2012,1,1,4,30,0,0,0,0,0,0,0,11,125.3,0,0.14100000000000001,3.2,1.865,338.90000000000003,100.0,12,1020.0
2012,1,1,5,0,0,0,0,0,0,0,0,9,118.89,0,0.14100000000000001,3.2,1.675,348.8,90.60000000000001,11,1020.0
2012,1,1,5,30,0,0,0,0,0,0,0,9,112.55,0,0.14100000000000001,3.2,1.539,348.8,96.89,10,1020.0
2012,1,1,6,0,0,0,0,0,0,0,0,7,106.29,0,0.14100000000000001,3.2,1.4040000000000001,350.5,85.68,10,1020.0
2012,1,1,6,30,0,0,0,0,0,0,0,7,100.15,0,0.14100000000000001,3.2,1.302,350.5,91.69,9,1020.0
2012,1,1,7,0,0,0,0,0,0,0,0,6,94.13,0,0.14100000000000001,3.3000000000000003,1.201,351.90000000000003,84.88,9,1020.0
2012,1,1,7,30,13,157,18,13,157,18,0,6,88.28,0,0.14100000000000001,3.4000000000000004,1.127,351.90000000000003,84.94,9,1020.0
2012,1,1,8,0,37,471,97,37,471,97,0,5,82.64,0,0.14100000000000001,3.5,1.053,355.1,75.9,10,1020.0
2012,1,1,8,30,52,637,193,52,637,193,0,5,77.25,0,0.14100000000000001,3.8000000000000003,1.0,355.1,71.05,11,1020.0
2012,1,1,9,0,61,751,291,61,751,291,0,4,72.16,0,0.14100000000000001,4.2,0.9470000000000001,4.2,60.800000000000004,12,1020.0
2012,1,1,9,30,68,818,382,68,818,382,0,4,67.46000000000001,0,0.14100000000000001,4.3,0.907,4.2,56.96,13,1020.0
2012,1,1,10,0,71,874,465,71,874,465,0,3,63.230000000000004,0,0.14100000000000001,4.4,0.867,8.5,50.44,14,1020.0
2012,1,1,10,30,75,907,535,75,907,535,0,3,59.56,0,0.14100000000000001,4.3,0.8320000000000001,8.5,50.43,15,1020.0
2012,1,1,11,0,76,936,592,76,936,592,0,3,56.58,0,0.14100000000000001,4.3,0.797,9.700000000000001,46.31,16,1020.0
2012,1,1,11,30,78,951,632,78,951,632,0,3,54.4,0,0.14100000000000001,4.1000000000000005,0.762,9.700000000000001,46.300000000000004,16,1020.0
2012,1,1,12,0,78,964,657,78,964,657,0,3,53.11,0,0.14100000000000001,4.1000000000000005,0.728,8.0,43.39,16,1020.0
2012,1,1,12,30,78,968,664,78,968,664,0,3,52.78,0,0.14100000000000001,4.1000000000000005,0.6940000000000001,8.0,43.38,16,1020.0
2012,1,1,13,0,75,972,654,75,972,654,0,3,53.43,0,0.14100000000000001,4.1000000000000005,0.661,4.6000000000000005,40.82,17,1020.0
2012,1,1,13,30,74,964,627,74,964,627,0,3,55.03,0,0.14100000000000001,4.1000000000000005,0.632,4.6000000000000005,40.82,17,1020.0
2012,1,1,14,0,70,955,584,70,955,584,0,3,57.49,0,0.14100000000000001,4.1000000000000005,0.603,1.6,40.53,17,1020.0
2012,1,1,14,30,67,934,525,67,934,525,0,3,60.71,0,0.14100000000000001,4.0,0.581,1.6,43.19,16,1020.0
2012,1,1,15,0,65,898,451,65,898,451,0,3,64.58,0,0.14100000000000001,3.9000000000000004,0.559,359.6,42.96,16,1020.0
2012,1,1,15,30,60,851,365,60,851,365,0,3,68.98,0,0.14100000000000001,3.5,0.543,359.6,45.81,15,1020.0
2012,1,1,16,0,52,785,271,52,785,271,0,3,73.81,0,0.14100000000000001,3.2,0.528,358.0,50.34,15,1020.0
2012,1,1,16,30,42,677,171,42,677,171,0,3,79.01,0,0.14100000000000001,2.7,0.513,358.0,57.370000000000005,13,1020.0
2012,1,1,17,0,27,492,75,27,492,75,0,4,84.49,0,0.14100000000000001,2.2,0.498,357.20000000000005,63.36,12,1020.0
2012,1,1,17,30,0,0,0,0,0,0,0,4,90.2,0,0.14100000000000001,2.1,0.484,357.20000000000005,67.74,11,1020.0
2012,1,1,18,0,0,0,0,0,0,0,0,4,96.12,0,0.14100000000000001,2.1,0.47100000000000003,357.90000000000003,67.37,10,1020.0
2012,1,1,18,30,0,0,0,0,0,0,0,4,102.18,0,0.14100000000000001,2.1,0.46,357.90000000000003,72.06,9,1020.0
2012,1,1,19,0,0,0,0,0,0,0,0,4,108.36,0,0.14100000000000001,2.1,0.451,358.40000000000003,71.86,9,1020.0
2012,1,1,19,30,0,0,0,0,0,0,0,4,114.65,0,0.14100000000000001,2.0,0.444,358.40000000000003,76.89,8,1020.0
2012,1,1,20,0,0,0,0,0,0,0,0,4,121.01,0,0.14100000000000001,2.0,0.437,359.3,75.94,8,1030.0
2012,1,1,20,30,0,0,0,0,0,0,0,4,127.44,0,0.14100000000000001,1.9000000000000001,0.431,359.3,81.31,7,1030.0
2012,1,1,21,0,0,0,0,0,0,0,0,3,133.92000000000002,0,0.14100000000000001,1.8,0.426,358.70000000000005,80.29,7,1030.0
2012,1,1,21,30,0,0,0,0,0,0,0,3,140.42000000000002,0,0.14100000000000001,1.7000000000000002,0.423,358.70000000000005,86.01,6,1030.0
2012,1,1,22,0,0,0,0,0,0,0,0,3,146.92000000000002,0,0.14100000000000001,1.7000000000000002,0.42,358.40000000000003,84.33,6,1030.0
2012,1,1,22,30,0,0,0,0,0,0,0,3,153.4,0,0.14100000000000001,1.7000000000000002,0.419,358.40000000000003,84.33,6,1030.0
2012,1,1,23,0,0,0,0,0,0,0,0,3,159.78,0,0.14100000000000001,1.8,0.419,358.6,82.0,6,1030.0
2012,1,1,23,30,0,0,0,0,0,0,0,3,165.9,0,0.14100000000000001,1.8,0.421,358.6,87.87,5,1030.0
2012,1,2,0,0,0,0,0,0,0,0,0,2,171.16,0,0.14100000000000001,1.9000000000000001,0.424,359.3,85.62,5,1030.0
2012,1,2,0,30,0,0,0,0,0,0,0,2,173.1,0,0.14100000000000001,1.9000000000000001,0.434,359.3,85.63,5,1030.0
2012,1,2,1,0,0,0,0,0,0,0,0,2,169.65,0,0.14100000000000001,2.0,0.444,0.1,83.68,5,1030.0
2012,1,2,1,30,0,0,0,0,0,0,0,2,163.99,0,0.14100000000000001,1.9000000000000001,0.462,0.1,89.74,4,1030.0
2012,1,2,2,0,0,0,0,0,0,0,0,2,157.75,0,0.14100000000000001,1.9000000000000001,0.481,0.7000000000000001,87.83,4,1030.0
2012,1,2,2,30,0,0,0,0,0,0,0,2,151.33,0,0.14100000000000001,1.9000000000000001,0.505,0.7000000000000001,87.84,4,1030.0
2012,1,2,3,0,0,0,0,0,0,0,0,1,144.83,0,0.14100000000000001,1.9000000000000001,0.53,0.30000000000000004,85.72,4,1030.0
2012,1,2,3,30,0,0,0,0,0,0,0,1,138.33,0,0.14100000000000001,1.8,0.55,0.30000000000000004,85.74,4,1030.0
