Date	hhmm	Wind
01/01/2013	00:30	576.718038
01/01/2013	01:00	574.326749
01/01/2013	01:30	553.273395
01/01/2013	02:00	524.661211
01/01/2013	02:30	556.940754
01/01/2013	03:00	548.771959
01/01/2013	03:30	639.223939
01/01/2013	04:00	735.069468
01/01/2013	04:30	717.370486
01/01/2013	05:00	654.506455
01/01/2013	05:30	704.478022
01/01/2013	06:00	663.853678
01/01/2013	06:30	626.631696
01/01/2013	07:00	625.180152
01/01/2013	07:30	672.59282
01/01/2013	08:00	621.33139
01/01/2013	08:30	705.973324
01/01/2013	09:00	706.428184
01/01/2013	09:30	646.547188
01/01/2013	10:00	598.309166
01/01/2013	10:30	578.764262
01/01/2013	11:00	568.128326
01/01/2013	11:30	523.981501
01/01/2013	12:00	543.669264
01/01/2013	12:30	498.787068
01/01/2013	13:00	538.381615
01/01/2013	13:30	540.716003
01/01/2013	14:00	554.49921
01/01/2013	14:30	507.364273
01/01/2013	15:00	475.215024
01/01/2013	15:30	468.60936
01/01/2013	16:00	427.651886
01/01/2013	16:30	415.690761
01/01/2013	17:00	374.177349
01/01/2013	17:30	311.288662
01/01/2013	18:00	308.001359
01/01/2013	18:30	297.896397
01/01/2013	19:00	343.404293
01/01/2013	19:30	349.464717
01/01/2013	20:00	359.407058
01/01/2013	20:30	390.549749
01/01/2013	21:00	410.694118
01/01/2013	21:30	426.675679
01/01/2013	22:00	396.361005
01/01/2013	22:30	372.829807
01/01/2013	23:00	374.865311
01/01/2013	23:30	392.904589
01/01/2013	00:00	363.989628
01/02/2013	00:30	322.289458
01/02/2013	01:00	288.918776
01/02/2013	01:30	249.306425
01/02/2013	02:00	270.27042
01/02/2013	02:30	279.418825
01/02/2013	03:00	293.700709
01/02/2013	03:30	264.498726
01/02/2013	04:00	254.969173
01/02/2013	04:30	236.969793
01/02/2013	05:00	259.344199
01/02/2013	05:30	237.846887
01/02/2013	06:00	224.457917
01/02/2013	06:30	214.018877
01/02/2013	07:00	194.313481
01/02/2013	07:30	207.253145
01/02/2013	08:00	208.351047
01/02/2013	08:30	197.759428
01/02/2013	09:00	164.470387
01/02/2013	09:30	139.076845
01/02/2013	10:00	146.637425
01/02/2013	10:30	113.396081
01/02/2013	11:00	121.629919
01/02/2013	11:30	108.034698
01/02/2013	12:00	118.712661
01/02/2013	12:30	113.970002
01/02/2013	13:00	139.022554
01/02/2013	13:30	159.777442
01/02/2013	14:00	150.107086
01/02/2013	14:30	135.300662
01/02/2013	15:00	110.416155
01/02/2013	15:30	104.43606
01/02/2013	16:00	95.344236
01/02/2013	16:30	89.958934
01/02/2013	17:00	94.562097
01/02/2013	17:30	107.857376
01/02/2013	18:00	121.499023
01/02/2013	18:30	152.335079
01/02/2013	19:00	184.591138
01/02/2013	19:30	200.882705
01/02/2013	20:00	228.392067
01/02/2013	20:30	249.352494
01/02/2013	21:00	295.310106
01/02/2013	21:30	300.394192
01/02/2013	22:00	270.203456
01/02/2013	22:30	275.721227
01/02/2013	23:00	268.988457
01/02/2013	23:30	256.561088
01/02/2013	00:00	256.469126
01/03/2013	00:30	249.76398
01/03/2013	01:00	250.187006
01/03/2013	01:30	268.060816
01/03/2013	02:00	281.768418
01/03/2013	02:30	340.335453
01/03/2013	03:00	356.67913
01/03/2013	03:30	482.973468
01/03/2013	04:00	538.318905
01/03/2013	04:30	584.677566
01/03/2013	05:00	673.324061
01/03/2013	05:30	684.306638
01/03/2013	06:00	779.58034
01/03/2013	06:30	774.566499
01/03/2013	07:00	870.739413
01/03/2013	07:30	800.308521
01/03/2013	08:00	792.337895
01/03/2013	08:30	683.02486
01/03/2013	09:00	640.715859
01/03/2013	09:30	585.623498
01/03/2013	10:00	535.048309
01/03/2013	10:30	513.04569
01/03/2013	11:00	447.606063
01/03/2013	11:30	374.422473
01/03/2013	12:00	367.752351
01/03/2013	12:30	340.19264
01/03/2013	13:00	311.334601
01/03/2013	13:30	258.000502
01/03/2013	14:00	244.36123
01/03/2013	14:30	222.405861
01/03/2013	15:00	209.611943
01/03/2013	15:30	216.882595
01/03/2013	16:00	223.812727
01/03/2013	16:30	244.685779
01/03/2013	17:00	255.007386
01/03/2013	17:30	215.395489
01/03/2013	18:00	177.175023
01/03/2013	18:30	190.700024
01/03/2013	19:00	178.694797
01/03/2013	19:30	168.285512
01/03/2013	20:00	191.035619
01/03/2013	20:30	206.750194
01/03/2013	21:00	207.26341
01/03/2013	21:30	203.567177
01/03/2013	22:00	163.503536
01/03/2013	22:30	169.136319
01/03/2013	23:00	211.661758
01/03/2013	23:30	204.603744
01/03/2013	00:00	211.508894
01/04/2013	00:30	191.515614
01/04/2013	01:00	237.194183
01/04/2013	01:30	302.516017
01/04/2013	02:00	264.678875
01/04/2013	02:30	253.588313
01/04/2013	03:00	295.391606
01/04/2013	03:30	299.777125
01/04/2013	04:00	316.860728
01/04/2013	04:30	308.050552
01/04/2013	05:00	316.208714
01/04/2013	05:30	326.926922
01/04/2013	06:00	347.835042
01/04/2013	06:30	359.310174
01/04/2013	07:00	299.568314
01/04/2013	07:30	284.578708
01/04/2013	08:00	273.065174
01/04/2013	08:30	263.578099
01/04/2013	09:00	280.827404
01/04/2013	09:30	265.389739
01/04/2013	10:00	270.410348
01/04/2013	10:30	294.437215
01/04/2013	11:00	334.096555
01/04/2013	11:30	360.498517
